"snz_uid","snz_nzta_uid","nzta_snz_sex_code","nzta_dlr_birth_month_nbr","nzta_dlr_birth_year_nbr","nzta_dlr_licence_issue_date","nzta_dlr_organ_donor_ind","nzta_dlr_licence_type_text","nzta_dlr_licence_status_text","nzta_dlr_lic_class_grant_date","nzta_dlr_licence_start_date","nzta_dlr_licence_from_date","nzta_dlr_class_status_text","nzta_dlr_licence_class_text","nzta_dlr_licence_stage_text","nzta_dlr_class_from_date","nzta_dlr_endorsement_type_text","nzta_dlr_region_code"
1934200,5230719,3,4,1922,1938-06-10,"0","PERMANENT","active",NA,1944-09-04,2018-05-21,NA,"16",NA,NA,NA,"3"
1940796,5237315,2,6,1925,1942-01-01,"1","PERMANENT","active",NA,1952-06-06,2016-12-13,NA,"1",NA,NA,"D","3"
1959406,5255925,1,3,1930,1949-05-11,"1","PERMANENT","active",NA,1953-02-28,2019-04-24,NA,"1",NA,NA,"P","14"
1963713,5260232,1,5,1994,2012-09-21,"1","PERMANENT","active",2015-12-12,2015-12-12,2017-09-20,"active","12","full",2020-12-10,"R","2"
1969481,5266000,2,10,1960,1977-06-19,"1","PERMANENT","active",NA,1985-10-29,2017-06-09,NA,"16",NA,NA,NA,"8"
1992377,5288896,1,9,1932,1952-07-19,"1","PERMANENT","active",NA,1958-06-06,2017-07-03,NA,"1",NA,NA,"V","8"
1994829,5291348,2,9,1920,1939-09-22,"0","PERMANENT","active",NA,1944-02-08,2019-09-02,NA,"1",NA,NA,NA,"2"
2015797,5312316,2,9,1943,1961-10-12,"0","PERMANENT","active",NA,1967-05-18,2016-09-28,NA,"1",NA,NA,"O","2"
2017439,5313958,2,3,1925,1941-12-22,"0","PERMANENT","active",NA,1946-08-01,2016-12-03,NA,"1",NA,NA,"R","9"
2022317,5318836,1,3,1945,1961-03-21,"1","PERMANENT","active",NA,1967-11-23,2016-03-07,NA,"1",NA,NA,NA,"2"
2032031,5328550,2,9,1956,1977-05-04,"1","PERMANENT","active",NA,1985-02-01,2017-04-24,NA,"1",NA,NA,"P","2"
2042264,5338783,1,7,1924,1943-04-15,"1","PERMANENT","active",NA,1946-11-26,2018-03-27,NA,"1",NA,NA,NA,"2"
2044051,5340570,2,2,1945,1963-08-21,"0","PERMANENT","active",NA,1966-12-14,2018-08-07,NA,"1",NA,NA,NA,"2"
2044261,5340780,2,4,1923,1940-06-01,"1","PERMANENT","active",NA,1944-02-21,2020-05-12,NA,"1",NA,NA,NA,"1"
2047198,5343717,1,11,1922,1939-02-09,"1","PERMANENT","suspended",NA,1946-08-03,2019-01-20,NA,"6",NA,NA,NA,"2"
2051650,5348169,1,8,1951,1969-06-08,"1","PERMANENT","suspended",NA,1993-10-20,2019-05-27,NA,"",NA,NA,NA,"8"
2056540,5353059,2,10,1925,1941-10-25,"1","PERMANENT","active",NA,1948-01-28,2016-10-06,NA,"1",NA,NA,NA,"2"
2072724,5369243,2,2,1925,1941-05-02,"0","PERMANENT","active",NA,1946-10-14,2016-04-13,NA,"1",NA,NA,NA,"9"
2106433,5402952,1,7,1979,1998-04-28,"1","PERMANENT","active",NA,2007-02-14,2018-04-23,NA,"1",NA,NA,NA,"4"
2113476,5409995,2,7,1947,1963-09-05,"1","PERMANENT","active",NA,1963-09-05,2018-08-22,NA,"1",NA,NA,NA,"9"
2129662,5426181,1,2,1948,1967-04-18,"0","PERMANENT","active",NA,1970-07-17,2017-04-05,NA,"1",NA,NA,NA,"4"
2138294,5434813,2,7,1981,1998-09-02,"0","PERMANENT","active",NA,2002-09-14,2018-08-28,NA,"1",NA,NA,NA,"9"
2138528,5435047,2,5,1969,1986-02-22,"1","PERMANENT","active",NA,1994-09-11,2016-02-15,NA,"1",NA,NA,"P","3"
2152492,5449011,1,8,1931,1948-02-03,"0","PERMANENT","suspended",NA,1949-09-14,2018-01-16,NA,"",NA,NA,NA,"2"
2155706,5452225,1,12,1979,1997-06-11,"0","PERMANENT","active",NA,2005-04-23,2017-06-06,NA,"16",NA,NA,"I","2"
2160779,5457298,1,1,1939,1956-03-30,"1","PERMANENT","active",NA,1961-07-02,2016-03-15,NA,"1",NA,NA,"F","14"
2172384,5468903,1,1,1951,1967-03-16,"1","PERMANENT","active",NA,1974-02-03,2017-03-03,NA,"16",NA,NA,NA,"2"
2175174,5471693,1,2,1960,1976-07-20,"0","PERMANENT","suspended",NA,2005-10-16,2016-07-10,NA,"",NA,NA,NA,"2"
2187328,5483847,2,12,1932,1953-03-10,"1","PERMANENT","active",NA,1959-07-16,2018-02-22,NA,"1",NA,NA,NA,"2"
2204672,5501191,2,12,1945,1963-02-13,"1","PERMANENT","active",NA,1966-10-06,2018-01-30,NA,"1",NA,NA,"V","2"
2236713,5533232,2,6,1969,1986-11-18,"1","PERMANENT","active",NA,1992-11-21,2016-11-10,NA,"16",NA,NA,NA,"8"
2237963,5534482,2,8,1942,1960-04-08,"1","PERMANENT","active",NA,1963-11-29,2020-03-24,NA,"1",NA,NA,NA,"3"
2238678,5535197,1,4,1929,1946-01-16,"1","PERMANENT","active",NA,1946-01-16,2015-12-30,NA,"1",NA,NA,"P","2"
2256685,5553204,1,8,1924,1941-06-10,"1","PERMANENT","active",NA,1948-10-14,2016-05-22,NA,"16",NA,NA,NA,"9"
2256900,5553419,2,3,1994,2011-08-17,"1","DIPLOMATIC","active",NA,2020-02-16,2016-08-15,NA,"1",NA,NA,NA,"15"
2279765,5576284,2,3,1940,1957-09-08,"1","PERMANENT","active",NA,1963-12-02,2017-08-24,NA,"16",NA,NA,NA,"3"
2293073,5589592,2,9,1970,1988-10-30,"1","TEMPORARY","active",NA,1995-07-21,2018-10-23,NA,"1",NA,NA,NA,"8"
2312035,5608554,2,4,1979,1995-07-22,"1","PERMANENT","active",2005-03-11,2012-07-30,2020-07-15,"active","1234","full",2020-03-07,NA,"6"
2313278,5609797,1,9,1976,1992-10-07,"1","PERMANENT","active",NA,2000-05-14,2017-10-01,NA,"1",NA,NA,NA,"3"
2314177,5610696,1,7,1954,1973-08-28,"0","PERMANENT","active",NA,1977-06-05,2018-08-17,NA,"1",NA,NA,NA,"4"
2328024,5624543,1,8,1978,1996-03-28,"1","PERMANENT","active",NA,1996-03-28,2016-03-23,NA,"1",NA,NA,"P","9"
2328109,5624628,1,1,1933,1952-04-24,"1","PERMANENT","active",NA,1952-04-24,2017-04-08,NA,"1",NA,NA,NA,"2"
2335899,5632418,2,12,1970,1988-12-08,"1","PERMANENT","active",NA,1993-09-02,2018-12-01,NA,"1",NA,NA,NA,"4"
2343036,5639555,2,10,1921,1939-10-02,"0","PERMANENT","suspended",NA,1941-06-10,2019-09-12,NA,"",NA,NA,NA,"2"
2346512,5643031,2,8,1958,1974-08-30,"1","PERMANENT","active",NA,1979-01-05,2019-08-19,NA,"1",NA,NA,NA,"8"
2348357,5644876,1,3,2000,2016-06-19,"0","PERMANENT","active",NA,2019-03-24,2016-06-19,NA,"1",NA,NA,NA,"5"
2348968,5645487,2,8,1936,1954-04-14,"1","PERMANENT","active",NA,1958-10-01,2019-03-29,NA,"1",NA,NA,NA,"6"
2350363,5646882,1,1,1994,2010-12-30,"0","PERMANENT","active",NA,2016-11-15,2020-12-27,NA,"1",NA,NA,NA,"9"
2365728,5662247,2,7,1939,1956-06-25,"1","PERMANENT","active",NA,1963-06-10,2016-06-10,NA,"16",NA,NA,NA,"1"
2369945,5666464,2,11,1929,1948-01-22,"1","PERMANENT","active",NA,1948-01-22,2018-01-04,NA,"1",NA,NA,"W","2"
2375181,5671700,1,2,1937,1953-11-28,"1","PERMANENT","suspended",NA,1960-11-10,2018-11-12,NA,"",NA,NA,NA,"2"
2377699,5674218,1,6,1969,1985-10-24,"1","PERMANENT","active",1994-08-23,1994-08-23,2020-10-15,"active","12","full",2019-08-17,NA,"8"
2381514,5678033,2,10,1961,1979-05-16,"1","PERMANENT","active",NA,1984-03-12,2019-05-06,NA,"16",NA,NA,NA,"9"
2383642,5680161,2,7,1985,2001-12-11,"1","PERMANENT","active",NA,2008-08-14,2016-12-07,NA,"16",NA,NA,NA,"4"
2403089,5699608,1,10,1928,1944-11-09,"1","PERMANENT","active",NA,1950-11-01,2019-10-22,NA,"1",NA,NA,NA,"2"
2406929,5703448,1,5,1923,1939-11-26,"1","PERMANENT","active",NA,1946-06-05,2019-11-06,NA,"16",NA,NA,NA,"6"
2428208,5724727,2,2,1931,1948-07-05,"1","PERMANENT","active",NA,1955-03-26,2018-06-18,NA,"16",NA,NA,NA,"9"
2466168,5762687,1,12,1976,1993-06-02,"0","PERMANENT","active",NA,1995-11-19,2018-05-27,NA,"1",NA,NA,NA,"4"
2479745,5776264,2,6,1938,1955-05-10,"1","PERMANENT","active",NA,1960-08-02,2020-04-23,NA,"1",NA,NA,NA,"14"
2481827,5778346,2,9,1975,1992-06-05,"1","PERMANENT","active",NA,1993-08-11,2017-05-30,NA,"1",NA,NA,"P","2"
2519466,5815985,2,7,1993,2010-06-30,"1","PERMANENT","active",NA,2015-12-12,2020-06-27,NA,"1",NA,NA,NA,"2"
2521539,5818058,2,3,1941,1959-10-12,"1","PERMANENT","active",NA,1967-11-15,2019-09-27,NA,"1",NA,NA,NA,"14"
2522009,5818528,1,10,1981,1999-07-27,"0","PERMANENT","active",2012-05-18,2015-03-12,2019-07-22,"active","123","full",2017-05-17,NA,"14"
2527482,5824001,2,4,1928,1947-01-02,"1","PERMANENT","active",NA,1949-02-03,2016-12-15,NA,"1",NA,NA,NA,"6"
2529731,5826250,1,11,1948,1967-06-25,"1","PERMANENT","active",NA,1972-11-23,2017-06-12,NA,"1",NA,NA,NA,"2"
2545656,5842175,1,2,1945,1963-02-15,"1","PERMANENT","active",NA,1971-12-24,2018-02-01,NA,"1",NA,NA,"W","3"
2548594,5845113,2,5,1985,2002-07-09,"0","PERMANENT","active",NA,2008-03-23,2017-07-05,NA,"1",NA,NA,NA,"3"
2548994,5845513,1,10,1969,1986-01-26,"0","PERMANENT","active",NA,1993-08-27,2016-01-19,NA,"16",NA,NA,NA,"2"
2557311,5853830,1,10,1964,1981-08-14,"1","PERMANENT","active",1990-12-09,1991-06-13,2016-08-05,"active","123","full",2020-12-01,"F","3"
2567858,5864377,1,2,1940,1958-11-04,"0","PERMANENT","active",NA,1964-02-28,2018-10-20,NA,"1",NA,NA,NA,"5"
2583828,5880347,2,3,1944,1961-11-24,"1","PERMANENT","active",1967-03-04,1980-05-21,2016-11-10,"active","12345","full",2017-02-19,"I","14"
2620496,5917015,1,4,1922,1938-07-29,"1","PERMANENT","active",NA,1944-04-16,2018-07-09,NA,"1",NA,NA,"P","17"
2627684,5924203,1,9,1922,1940-01-14,"1","PERMANENT","active",NA,1948-07-07,2019-12-25,NA,"1",NA,NA,NA,"4"
2670495,5967014,2,5,1985,2001-11-13,"1","PERMANENT","active",NA,2008-04-26,2016-11-09,NA,"1",NA,NA,"P","8"
2688686,5985205,1,2,1960,1977-12-27,"1","PERMANENT","active",NA,1986-08-06,2017-12-17,NA,"1",NA,NA,"D","17"
2697475,5993994,1,2,1922,1938-07-08,"1","PERMANENT","active",NA,1942-12-21,2018-06-18,NA,"1",NA,NA,NA,"2"
2705192,6001711,1,5,1989,2006-07-01,"0","PERMANENT","active",NA,2009-10-28,2016-06-28,NA,"1",NA,NA,NA,"2"
2722989,6019508,2,5,1928,1944-05-23,"1","PERMANENT","active",NA,1951-04-16,2019-05-05,NA,"16",NA,NA,NA,"8"
2726825,6023344,2,7,1961,1978-02-16,"1","PERMANENT","active",1988-06-26,1989-02-27,2018-02-06,"active","123","full",2018-06-19,NA,"6"
2727468,6023987,1,9,1962,1980-04-21,"0","PERMANENT","active",NA,1989-02-08,2020-04-11,NA,"16",NA,NA,NA,"9"
2732407,6028926,2,3,1998,2016-05-26,"1","PERMANENT","active",NA,2018-10-19,2016-05-26,NA,"16",NA,NA,NA,"9"
2747294,6043813,2,10,1952,1969-06-12,"0","PERMANENT","active",1980-11-30,1980-11-30,2019-05-31,"active","136","full",2020-11-20,NA,"2"
2758362,6054881,2,9,1959,1977-03-15,"1","PERMANENT","suspended",NA,1988-06-21,2017-03-05,NA,"1",NA,NA,"V","14"
2782536,6079055,1,12,1934,1952-04-20,"0","PERMANENT","suspended",NA,1957-09-27,2017-04-04,NA,"",NA,NA,NA,"4"
2788619,6085138,2,6,1938,1956-06-02,"1","PERMANENT","active",1964-01-02,1964-01-02,2016-05-18,"active","126","restricted",2018-12-19,NA,"13"
2805531,6102050,1,9,1939,1957-04-08,"1","PERMANENT","active",NA,1962-05-10,2017-03-24,NA,"1",NA,NA,"D","3"
2819007,6115526,1,12,1932,1951-07-13,"0","PERMANENT","suspended",NA,1955-09-09,2016-06-26,NA,"",NA,NA,NA,"16"
2842132,6138651,1,8,1961,1977-11-16,"0","PERMANENT","active",NA,1979-02-28,2017-11-06,NA,"1",NA,NA,NA,"9"
2847564,6144083,1,3,1936,1953-08-31,"0","PERMANENT","active",NA,1956-03-29,2018-08-15,NA,"1",NA,NA,NA,"9"
2854986,6151505,1,12,1974,1991-10-03,"1","PERMANENT","active",NA,1994-05-04,2016-09-26,NA,"1",NA,NA,NA,"14"
2859331,6155850,1,5,1924,1942-01-12,"1","PERMANENT","active",NA,1947-11-04,2016-12-24,NA,"1",NA,NA,"P","2"
2871670,6168189,1,8,1960,1977-05-05,"0","PERMANENT","active",NA,1983-03-28,2017-04-25,NA,"1",NA,NA,"V","16"
2877656,6174175,2,2,1947,1963-09-16,"1","TEMPORARY","active",NA,1967-12-29,2018-09-02,NA,"16",NA,NA,NA,"3"
2886556,6183075,1,9,1970,1988-01-30,"1","PERMANENT","active",NA,1992-01-27,2018-01-22,NA,"1",NA,NA,"F","2"
2891509,6188028,1,1,1945,1962-09-20,"1","PERMANENT","active",NA,1970-01-27,2017-09-06,NA,"1",NA,NA,NA,"2"
2898283,6194802,1,7,1966,1983-05-27,"1","PERMANENT","active",NA,1987-07-01,2018-05-18,NA,"1",NA,NA,NA,"9"
2901394,6197913,1,7,1946,1963-08-31,"1","PERMANENT","active",NA,1967-07-14,2018-08-17,NA,"1",NA,NA,"P","2"
2905995,6202514,1,9,1984,2000-12-25,"1","PERMANENT","active",NA,2008-02-02,2020-12-20,NA,"1",NA,NA,NA,"2"
2915759,6212278,2,8,1958,1976-09-01,"1","PERMANENT","active",NA,1988-09-24,2016-08-22,NA,"1",NA,NA,"P","8"
2921971,6218490,1,8,1931,1950-06-04,"0","PERMANENT","active",NA,1959-03-31,2020-05-17,NA,"1",NA,NA,NA,"15"
2963019,6259538,1,7,1958,1977-03-22,"0","PERMANENT","active",1987-05-22,1991-09-28,2017-03-12,"active","123","full",2017-05-14,NA,"9"
2976367,6272886,2,4,1976,1995-05-16,"0","PERMANENT","active",NA,1998-05-29,2020-05-09,NA,"1",NA,NA,NA,"2"
2976700,6273219,2,12,1968,1985-12-23,"1","PERMANENT","active",NA,1993-04-27,2020-12-14,NA,"1",NA,NA,NA,"14"
2976990,6273509,1,3,1989,2006-02-24,"0","PERMANENT","active",2017-08-26,2017-08-26,2016-02-22,"active","126","full",2017-08-26,NA,"2"
2987655,6284174,2,8,1952,1972-03-22,"0","PERMANENT","active",NA,1977-11-05,2017-03-11,NA,"1",NA,NA,NA,"3"
2992291,6288810,1,3,1949,1965-05-05,"0","PERMANENT","active",NA,1969-05-16,2020-04-21,NA,"1",NA,NA,"P","9"
2992316,6288835,1,10,1950,1967-08-01,"0","PERMANENT","active",NA,1975-03-12,2017-07-19,NA,"1",NA,NA,NA,"2"
2992534,6289053,2,9,1989,2008-06-01,"1","PERMANENT","active",NA,2012-01-21,2018-05-30,NA,"1",NA,NA,NA,"2"
2996267,6292786,2,11,1945,1962-03-20,"1","PERMANENT","active",NA,1967-06-22,2017-03-06,NA,"16",NA,NA,NA,"2"
3005104,6301623,2,8,1938,1956-05-21,"1","PERMANENT","active",NA,1962-06-10,2016-05-06,NA,"1",NA,NA,NA,"9"
3012095,6308614,1,9,1938,1957-09-17,"0","PERMANENT","active",1966-08-29,1966-08-29,2017-09-02,"active","13","full",2016-08-16,NA,"3"
3021286,6317805,1,7,1933,1950-05-14,"1","PERMANENT","active",NA,1954-05-27,2020-04-26,NA,"1",NA,NA,NA,"3"
3058229,6354748,2,11,1971,1990-03-26,"1","PERMANENT","active",NA,1996-03-09,2020-03-18,NA,"1",NA,NA,NA,"6"
3075953,6372472,1,4,1940,1958-05-24,"1","PERMANENT","active",1967-11-17,1967-11-17,2018-05-09,"active","12","full",2017-11-04,NA,"2"
3076184,6372703,1,6,1968,1984-12-28,"1","TEMPORARY","active",NA,1988-10-27,2019-12-20,NA,"1",NA,NA,NA,"6"
3083308,6379827,2,8,1926,1943-06-01,"1","PERMANENT","active",NA,1949-01-13,2018-05-13,NA,"1",NA,NA,NA,"4"
3097768,6394287,2,8,1921,1939-02-14,"0","PERMANENT","active",NA,1946-04-27,2019-01-25,NA,"16",NA,NA,NA,"4"
3098482,6395001,2,11,1974,1991-06-18,"1","TEMPORARY","active",NA,1997-09-20,2016-06-11,NA,"1",NA,NA,NA,"9"
3101360,6397879,1,3,1933,1950-04-29,"0","PERMANENT","active",1956-08-17,1959-03-11,2020-04-11,"active","1236","full",2016-08-02,NA,"3"
3106222,6402741,1,2,1952,1969-12-21,"1","PERMANENT","active",NA,1975-02-21,2019-12-09,NA,"1",NA,NA,NA,"2"
3114465,6410984,2,10,1943,1962-04-02,"1","PERMANENT","active",NA,1967-04-09,2017-03-19,NA,"1",NA,NA,"P","14"
3121894,6418413,2,11,1949,1966-09-09,"1","DIPLOMATIC","active",NA,1970-01-05,2016-08-27,NA,"1",NA,NA,"P","13"
3133527,6430046,2,4,1929,1949-03-24,"0","PERMANENT","active",NA,1957-08-10,2019-03-07,NA,"1",NA,NA,"P","2"
3138896,6435415,1,7,1969,1986-03-03,"1","PERMANENT","active",NA,1993-09-25,2016-02-24,NA,"1",NA,NA,NA,"2"
3159275,6455794,1,7,1929,1946-02-04,"1","PERMANENT","active",NA,1954-05-03,2016-01-18,NA,"1",NA,NA,"R","2"
3163576,6460095,2,11,1944,1964-08-09,"1","PERMANENT","active",NA,1970-05-04,2019-07-27,NA,"1",NA,NA,NA,"2"
3174187,6470706,2,7,1934,1950-09-14,"0","PERMANENT","active",NA,1956-06-24,2020-08-27,NA,"1",NA,NA,NA,"2"
3179541,6476060,2,1,1984,2000-02-24,"0","PERMANENT","active",NA,2008-09-16,2020-02-19,NA,"1",NA,NA,"P","8"
3180980,6477499,1,1,1999,2016-09-04,"0","PERMANENT","active",NA,2019-05-16,2016-09-04,NA,"1",NA,NA,"P","3"
3209794,6506313,1,7,1928,1946-04-01,"1","PERMANENT","active",NA,1952-05-27,2016-03-14,NA,"1",NA,NA,NA,"4"
3269849,6566368,1,1,1921,1937-08-30,"0","TEMPORARY","active",NA,1944-09-21,2017-08-10,NA,"1",NA,NA,NA,"3"
3276379,6572898,1,9,1957,1974-01-05,"0","PERMANENT","active",NA,1977-03-19,2018-12-25,NA,"1",NA,NA,"P","9"
3277813,6574332,1,8,1994,2011-03-15,"0","PERMANENT","active",NA,2019-10-04,2016-03-13,NA,"1",NA,NA,NA,"9"
3278661,6575180,1,2,1929,1946-01-19,"0","PERMANENT","suspended",NA,1947-08-17,2016-01-02,NA,"",NA,NA,NA,"14"
3288065,6584584,2,10,1922,1940-11-07,"1","PERMANENT","active",NA,1949-10-22,2020-10-18,NA,"1",NA,NA,NA,"14"
3316693,6613212,1,3,1959,1979-07-08,"1","PERMANENT","active",NA,1981-08-01,2019-06-28,NA,"1",NA,NA,NA,"2"
3331715,6628234,2,7,1964,1981-10-22,"1","PERMANENT","active",NA,1987-06-30,2016-10-13,NA,"1",NA,NA,NA,"2"
3349282,6645801,2,3,1959,1978-03-15,"1","PERMANENT","active",NA,1980-08-01,2018-03-05,NA,"1",NA,NA,NA,"9"
3351421,6647940,1,12,1976,1993-10-19,"0","PERMANENT","active",1998-01-13,2007-03-27,2018-10-13,"active","12346","full",2018-01-08,NA,"14"
3380266,6676785,2,8,1982,2000-11-22,"1","PERMANENT","suspended",NA,2006-02-23,2020-11-17,NA,"1",NA,NA,NA,"2"
3388367,6684886,2,2,1920,1936-09-11,"0","PERMANENT","active",NA,1944-04-19,2016-08-22,NA,"1",NA,NA,NA,"14"
3393130,6689649,2,10,1981,1999-08-26,"1","PERMANENT","active",NA,2007-11-03,2019-08-21,NA,"1",NA,NA,"D","9"
3393708,6690227,1,8,1962,1979-11-26,"1","PERMANENT","active",NA,1984-09-10,2019-11-16,NA,"1",NA,NA,"P","2"
3394109,6690628,1,3,1953,1970-06-13,"1","PERMANENT","active",NA,1979-07-02,2020-05-31,NA,"1",NA,NA,NA,"8"
3413363,6709882,2,7,1975,1993-02-18,"1","PERMANENT","active",NA,1999-09-14,2018-02-12,NA,"1",NA,NA,NA,"3"
3417911,6714430,2,9,1926,1943-06-29,"1","PERMANENT","active",NA,1951-06-15,2018-06-10,NA,"1",NA,NA,"P","2"
3425803,6722322,1,4,1924,1941-12-03,"0","PERMANENT","active",NA,1951-09-24,2016-11-14,NA,"16",NA,NA,"W","2"
3427822,6724341,2,8,1925,1942-06-08,"1","PERMANENT","active",NA,1949-03-13,2017-05-20,NA,"1",NA,NA,NA,"2"
3435426,6731945,2,10,1998,2015-09-05,"1","PERMANENT","active",NA,2017-08-12,2020-09-03,NA,"1",NA,NA,NA,"8"
3444642,6741161,2,11,1925,1943-12-13,"1","PERMANENT","suspended",NA,1957-07-02,2018-11-24,NA,"1",NA,NA,NA,"2"
3446216,6742735,1,4,1957,1975-05-27,"1","PERMANENT","active",NA,1978-08-29,2020-05-15,NA,"1",NA,NA,NA,"14"
3456153,6752672,2,4,1980,1999-04-13,"1","PERMANENT","suspended",NA,2019-12-20,2019-04-08,NA,"",NA,NA,NA,"14"
3472587,6769106,1,3,1989,2007-04-05,"1","PERMANENT","active",NA,2013-11-25,2017-04-02,NA,"1",NA,NA,NA,"9"
3478534,6775053,1,10,1957,1974-03-06,"1","PERMANENT","active",NA,1978-04-18,2019-02-23,NA,"1",NA,NA,NA,"14"
3490458,6786977,1,4,1986,2005-07-24,"0","PERMANENT","active",NA,2011-06-16,2020-07-20,NA,"1",NA,NA,NA,"2"
3492398,6788917,1,11,1951,1968-01-14,"1","PERMANENT","suspended",NA,1971-10-05,2018-01-01,NA,"",NA,NA,"P","4"
3504056,6800575,2,12,1974,1991-05-17,"0","DIPLOMATIC","active",NA,1997-11-04,2016-05-10,NA,"1",NA,NA,NA,"8"
3509223,6805742,2,11,1976,1995-10-03,"1","PERMANENT","suspended",NA,2006-01-21,2020-09-26,NA,"6",NA,NA,NA,"3"
3511290,6807809,1,7,1927,1944-01-30,"0","PERMANENT","active",NA,1949-11-12,2019-01-11,NA,"1",NA,NA,NA,"2"
3511698,6808217,2,5,1931,1948-10-12,"1","PERMANENT","active",NA,1954-04-20,2018-09-25,NA,"1",NA,NA,"P","18"
3528422,6824941,2,11,1974,1992-06-27,"0","PERMANENT","active",NA,1995-04-26,2017-06-21,NA,"1",NA,NA,"V","4"
3545376,6841895,2,4,1950,1969-04-22,"1","PERMANENT","active",NA,1977-06-13,2019-04-10,NA,"1",NA,NA,NA,"8"
3564125,6860644,2,6,1976,1993-04-03,"0","PERMANENT","active",NA,1993-04-03,2018-03-28,NA,"1",NA,NA,NA,"2"
3568575,6865094,2,3,1920,1938-02-12,"1","PERMANENT","active",NA,1947-11-17,2018-01-23,NA,"1",NA,NA,NA,"3"
3583490,6880009,3,2,1972,1990-11-28,"1","PERMANENT","active",NA,1990-11-28,2020-11-20,NA,"1",NA,NA,NA,"2"
3588329,6884848,1,10,1934,1953-04-05,"1","PERMANENT","active",NA,1958-10-05,2018-03-20,NA,"1",NA,NA,NA,"2"
3599949,6896468,1,2,1930,1949-12-13,"0","PERMANENT","active",NA,1955-09-14,2019-11-26,NA,"1",NA,NA,NA,"9"
3618169,6914688,2,9,1969,1987-10-02,"0","PERMANENT","active",1996-02-28,1996-02-28,2017-09-24,"active","12","full",2016-02-23,NA,"14"
3620964,6917483,2,3,1962,1979-04-29,"0","PERMANENT","active",1985-10-19,1985-10-19,2019-04-19,"active","12","full",2020-10-10,NA,"2"
3651221,6947740,2,7,1936,1954-01-16,"0","PERMANENT","active",NA,1958-05-18,2018-12-31,NA,"1",NA,NA,NA,"14"
3657904,6954423,1,9,1957,1977-11-07,"0","PERMANENT","suspended",NA,2015-06-13,2017-10-28,NA,"",NA,NA,"O","3"
3661280,6957799,1,6,1961,1978-10-11,"1","PERMANENT","active",NA,1984-04-07,2018-10-01,NA,"1",NA,NA,"P","16"
3676716,6973235,1,8,1987,2006-02-05,"1","PERMANENT","active",NA,2014-06-20,2016-02-03,NA,"1",NA,NA,NA,"8"
3684245,6980764,2,6,1925,1941-12-08,"0","PERMANENT","active",NA,1941-12-08,2016-11-19,NA,"1",NA,NA,"F","17"
3691110,6987629,2,12,1984,2002-02-12,"1","PERMANENT","active",NA,2011-05-25,2017-02-08,NA,"1",NA,NA,NA,"7"
3699897,6996416,1,9,1939,1958-05-26,"1","PERMANENT","active",NA,1967-03-26,2018-05-11,NA,"1",NA,NA,"P","14"
3721379,7017898,1,7,1920,1938-11-30,"0","PERMANENT","active",NA,1943-09-03,2018-11-10,NA,"1",NA,NA,NA,"9"
3745836,7042355,2,10,1972,1989-10-07,"1","PERMANENT","active",NA,1991-11-23,2019-09-30,NA,"1",NA,NA,NA,"2"
3802860,7099379,1,2,1963,1981-07-12,"1","PERMANENT","active",NA,1987-03-20,2016-07-03,NA,"1",NA,NA,NA,"6"
3803360,7099879,1,5,1922,1940-01-06,"1","PERMANENT","active",NA,1942-12-15,2019-12-17,NA,"1",NA,NA,"P","2"
3805202,7101721,2,6,1935,1952-05-17,"0","PERMANENT","suspended",NA,1955-11-06,2017-05-01,NA,"",NA,NA,"V","9"
3806100,7102619,1,6,1967,1983-10-21,"1","PERMANENT","active",NA,1989-01-08,2018-10-12,NA,"1",NA,NA,NA,"8"
3819795,7116314,1,11,1936,1954-07-29,"1","PERMANENT","active",NA,1956-09-27,2019-07-13,NA,"1",NA,NA,NA,"2"
3833985,7130504,1,1,1969,1985-09-16,"0","PERMANENT","suspended",1994-04-28,2015-01-26,2020-09-07,"suspended","26","full",2019-04-22,NA,"2"
3834214,7130733,2,3,1940,1956-03-26,"1","PERMANENT","active",NA,1965-11-23,2016-03-11,NA,"16",NA,NA,NA,"9"
3849005,7145524,1,6,1946,1963-06-17,"1","PERMANENT","active",NA,1971-02-28,2018-06-03,NA,"16",NA,NA,NA,"15"
3861411,7157930,2,7,1933,1952-10-24,"0","PERMANENT","active",NA,1959-06-24,2017-10-08,NA,"1",NA,NA,"P","2"
3897249,7193768,2,9,1999,2016-08-22,"1","PERMANENT","active",NA,2020-10-08,2016-08-22,NA,"16",NA,NA,NA,"2"
3906882,7203401,2,2,1943,1960-09-08,"1","TEMPORARY","active",NA,1966-01-11,2020-08-24,NA,"1",NA,NA,NA,"2"
3915566,7212085,2,6,1938,1955-06-01,"0","PERMANENT","active",NA,1962-04-17,2020-05-15,NA,"1",NA,NA,NA,"7"
3919030,7215549,1,9,2002,2020-09-17,"0","PERMANENT","active",NA,2020-09-17,2020-09-17,NA,"1",NA,NA,NA,"9"
3940671,7237190,1,10,1949,1968-09-03,"1","PERMANENT","active",NA,1978-05-14,2018-08-22,NA,"1",NA,NA,NA,"2"
3943981,7240500,2,4,1946,1964-04-27,"1","PERMANENT","active",NA,1968-10-26,2019-04-14,NA,"1",NA,NA,NA,"5"
3961738,7258257,1,11,1928,1945-02-18,"1","PERMANENT","active",NA,1952-05-12,2020-01-31,NA,"1",NA,NA,"P","9"
